sampleID	librarySize	normFactor	effectiveLibrary
BR1026	6877093.03405418	1	6877093.03405418
BR1047	6687736.205796	1	6687736.205796
BR1048	7954216.85004041	1	7954216.85004041
BR1049	8202878.65582908	1	8202878.65582908
BR2013	5770947.10166358	1	5770947.10166358
BR2014	5565928.96956248	1	5565928.96956248
BR2018	8096032.82368954	1	8096032.82368954
BR2019	9142261.84557719	1	9142261.84557719
BR2020	4226412.84848309	1	4226412.84848309
BR2021	11598546.8835455	1	11598546.8835455
BR2023	6637513.39086166	1	6637513.39086166
BR2025	9460858.10553846	1	9460858.10553846
