sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR1015	BR1015	shamA	B041	2544201	0.3923514492486654
BR1017	BR1017	shamA	B041	4561518	0.7139492181471682
BR1024	BR1024	shamB	B040	5750287	0.8237888933096204
BR1030	BR1030	shamB	B045	7021701	1.074383733313108
BR1031	BR1031	shamB	B041	9016302	1.3104333359949698
BR1032	BR1032	shamA	B040	5902432	0.8855073257458603
BR1043	BR1043	shamB	B041	7819833	1.1589060408597631
BR1044	BR1044	shamB	B041	8160659	1.246419903204328
BR1045	BR1045	shamA	B041	7839614	1.234479429351489
BR2012	BR2012	shamA	B045	8471606	1.2420029201310712
BR2022	BR2022	shamA	B043	10363196	1.5943574945498917
BR2024	BR2024	shamB	B045	6783292	0.9843967812440607
