sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR1009	BR1009	shamA	B078	11004697	1.6408026681897738
BR1012	BR1012	shamB	B078	5282527	0.8034436318205745
BR1059	BR1059	shamB	B085	9493919	1.440334892960872
BR2010	BR2010	shamA	B078	5088710	0.7856862213728741
BR2040	BR2040	shamB	B082	1877889	0.27171437562572087
BR2043	BR2043	shamA	B080	5889240	0.8752808731854228
BR2044	BR2044	shamB	B080	6903629	1.0764474887130813
BR2050	BR2050	shamB	B084	4929341	0.7311201000347302
BR2051	BR2051	shamA	B084	7754857	1.1354411410032426
UP1017	UP1017	shamB	B094	11080282	1.5833589053207051
UP1018	UP1018	shamA	B094	7385677	0.9977755975008725
UP1022	UP1022	shamA	B094	13918171	1.9964439139857986
