sampleID	librarySize	normFactor	effectiveLibrary
BR1041	10718869.0723399	1	10718869.0723399
BR2026	6588567.09870771	1	6588567.09870771
BR2028	5070896.81056857	1	5070896.81056857
BR2030	6416337.80666681	1	6416337.80666681
BR2031	5158416.80833957	1	5158416.80833957
BR2034	10745483.2001305	1	10745483.2001305
BR2035	2906370.41195574	1	2906370.41195574
BR2036	9352174.58763141	1	9352174.58763141
BR2037	5288837.95463173	1	5288837.95463173
BR2038	5933732.07664523	1	5933732.07664523
UP1008	9028321.85294352	1	9028321.85294352
UP1012	13053529.8518897	1	13053529.8518897
