sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR1026	BR1026	shamB	B047	7599753	0.9453640393933213
BR1047	BR1047	shamB	B046	6534546	0.9193339805934143
BR1048	BR1048	shamA	B046	8115334	1.0934315610285774
BR1049	BR1049	shamA	B046	7932170	1.1276140169004356
BR2013	BR2013	shamB	B046	6093814	0.7933069737661601
BR2014	BR2014	shamA	B046	5550781	0.7651240237097598
BR2018	BR2018	shamA	B047	8731516	1.1129263855184544
BR2019	BR2019	shamB	B048	8113298	1.2567469343120419
BR2020	BR2020	shamB	B048	4413529	0.5809865742401312
BR2021	BR2021	shamA	B048	10403084	1.5944017448397645
BR2023	BR2023	shamB	B046	6444073	0.9124300688736035
BR2025	BR2025	shamA	B050	9689863	1.300542975133528
