sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR1050	BR1050	shamA	B072	5486164	0.6274002265455839
BR1051	BR1051	shamB	B072	5494405	0.6558041182148565
BR1052	BR1052	shamA	B072	11968277	1.3810512076022063
BR1056	BR1056	shamB	B072	9991426	1.1798148193892801
BR1057	BR1057	shamB	B072	11385966	1.328305245758173
BR2033	BR2033	shamB	B067	6739778	0.8344376105296062
BR2041	BR2041	shamA	B064	3773283	0.4802931687727965
BR2042	BR2042	shamA	B060	7858535	0.9602487565013466
BR2052	BR2052	shamB	B060	8878551	1.1209331432877587
UP1011	UP1011	shamA	B060	8611853	1.105264931756719
UP1014	UP1014	shamB	B063	12864570	1.633424252725277
UP1015	UP1015	shamA	B063	11377998	1.4418847145611462
