sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR1006	BR1006	shamA	B078	8463489	1.1350932168410348
BR1011	BR1011	shamB	B078	8706081	1.1252209016084898
BR1013	BR1013	shamB	B078	6642092	0.8656296982721797
BR1014	BR1014	shamA	B078	7108543	0.9189163355570782
BR1054	BR1054	shamB	B073	5186921	0.7001247831363531
BR1058	BR1058	shamA	B073	9231596	1.3102383814315344
BR2008	BR2008	shamB	B078	5795499	0.8261703522328058
BR2032	BR2032	shamB	B073	6581500	0.9023913240978689
BR2039	BR2039	shamA	B077	4630570	0.6376161376668388
BR2045	BR2045	shamA	B073	8516471	1.2496147640749675
BR2047	BR2047	shamB	B077	7834672	1.075920143232045
BR2048	BR2048	shamA	B077	12243006	1.6788689183826147
