sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR2005	BR2005	shamA	B142	4486025	0.9125392786053221
BR2029	BR2029	shamA	B132	4493369	1.0272811960940673
BR2046	BR2046	shamB	B145	16023463	2.559354656857576
BR2053	BR2053	shamA	B145	1842918	0.42619917288244347
UP1021	UP1021	shamB	B094	8700130	1.8443972565324374
UP1023	UP1023	shamA	B096	3274596	0.6808037862467923
UP1024	UP1024	shamB	B096	4358452	0.7630193193078525
UP1025	UP1025	shamB	B096	3452203	0.7292435279106122
UP1026	UP1026	shamA	B096	3241970	0.6613306305419591
UP1031	UP1031	shamB	B138	7269621	1.4796303107182687
UP1032	UP1032	shamA	B138	6068321	1.2141171292899553
UP1034	UP1034	shamB	B138	5427467	1.1781457715648727
