sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR1041	BR1041	shamA	B056	10955650	1.5412409631223163
BR2026	BR2026	shamB	B053	6214001	0.9473545606608975
BR2028	BR2028	shamA	B054	4888216	0.7291323209071039
BR2030	BR2030	shamB	B054	6627556	0.9225901160024604
BR2031	BR2031	shamA	B056	5348677	0.7417166154578332
BR2034	BR2034	shamA	B053	10549107	1.545067745936048
BR2035	BR2035	shamB	B055	2946823	0.41790016303790994
BR2036	BR2036	shamA	B053	9308798	1.3447271789077389
BR2037	BR2037	shamB	B056	5324913	0.7604695652108585
BR2038	BR2038	shamB	B056	6218207	0.8531973736219968
UP1008	UP1008	shamA	B053	8557894	1.2981611561910147
UP1012	UP1012	shamB	B053	13236510	1.8769363433114943
