sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR1001	BR1001	shamB	B001	6392815	1.2001261912756798
BR1002	BR1002	shamB	B001	3351380	0.6006225874202984
BR1003	BR1003	shamA	B001	5801442	1.0898543620707761
BR1004	BR1004	shamB	B002	4412409	0.821515704042349
BR1005	BR1005	shamA	B002	4467429	0.8800162659644051
BR1007	BR1007	shamB	B002	7580807	1.4097063255997533
BR1008	BR1008	shamA	B002	5687004	1.128145591553456
BR1010	BR1010	shamB	B002	2721453	0.49943342329757723
BR1018	BR1018	shamA	B007	8862531	1.9007507766172365
BR1033	BR1033	shamA	B010	5986452	1.2427560851691528
BR2002	BR2002	shamB	B002	6497548	1.2179905525448722
BR2003	BR2003	shamA	B002	3855729	0.7704952979229539
