sampleID	librarySize	normFactor	effectiveLibrary
BR1015	2607690.53304451	1	2607690.53304451
BR1017	4745129.96142128	1	4745129.96142128
BR1024	5475158.82106308	1	5475158.82106308
BR1030	7140690.56093118	1	7140690.56093118
BR1031	8709550.10107343	1	8709550.10107343
BR1032	5885358.84016974	1	5885358.84016974
BR1043	7702452.27136339	1	7702452.27136339
BR1044	8284096.79130359	1	8284096.79130359
BR1045	8204736.6648513	1	8204736.6648513
BR2012	8254740.13933555	1	8254740.13933555
BR2022	10596598.9237147	1	10596598.9237147
BR2024	6542609.11263439	1	6542609.11263439
