sampleID	librarySize	normFactor	effectiveLibrary
BR1001	6228846.13152222	1	6228846.13152222
BR1002	3117326.91724783	1	3117326.91724783
BR1003	5656517.76992823	1	5656517.76992823
BR1004	4263797.38423148	1	4263797.38423148
BR1005	4567424.62065797	1	4567424.62065797
BR1007	7316600.41804503	1	7316600.41804503
BR1008	5855255.35133281	1	5855255.35133281
BR1010	2592139.03444043	1	2592139.03444043
BR1018	9865199.34985778	1	9865199.34985778
BR1033	6450102.07243566	1	6450102.07243566
BR2002	6321565.01258042	1	6321565.01258042
BR2003	3998993.34812618	1	3998993.34812618
