sampleID	librarySize	normFactor	effectiveLibrary
BR1009	11114846.9564685	1	11114846.9564685
BR1012	5442551.48956285	1	5442551.48956285
BR1059	9756872.17706913	1	9756872.17706913
BR2010	5322262.25351039	1	5322262.25351039
BR2040	1840601.40777574	1	1840601.40777574
BR2043	5929179.13774073	1	5929179.13774073
BR2044	7291887.88248423	1	7291887.88248423
BR2050	4952629.69534867	1	4952629.69534867
BR2051	7691512.6693769	1	7691512.6693769
UP1017	10725721.1674437	1	10725721.1674437
UP1018	6758962.10929277	1	6758962.10929277
UP1022	13523971.5240143	1	13523971.5240143
