sampleID	librarySize	normFactor	effectiveLibrary
BR1016	7325706.1765528	1	7325706.1765528
BR1019	11682329.6467413	1	11682329.6467413
BR1021	7524064.97028822	1	7524064.97028822
BR1023	5349186.63010724	1	5349186.63010724
BR1025	4378403.21026391	1	4378403.21026391
BR1028	9618261.06873493	1	9618261.06873493
BR1037	12338958.8154329	1	12338958.8154329
BR1040	5600932.03569946	1	5600932.03569946
BR1042	7348129.34110673	1	7348129.34110673
BR2009	7458502.84263251	1	7458502.84263251
BR2015	4755630.09758987	1	4755630.09758987
BR2016	7787680.39503526	1	7787680.39503526
