sampleID	librarySize	normFactor	effectiveLibrary
BR2005	4483850.53839427	1	4483850.53839427
BR2029	5047646.11472783	1	5047646.11472783
BR2046	12575638.1397979	1	12575638.1397979
BR2053	2094171.10648961	1	2094171.10648961
UP1021	9062625.38567691	1	9062625.38567691
UP1023	3345195.648092	1	3345195.648092
UP1024	3749169.66961973	1	3749169.66961973
UP1025	3583209.03209773	1	3583209.03209773
UP1026	3249512.40273647	1	3249512.40273647
UP1031	7270307.50443787	1	7270307.50443787
UP1032	5965682.6522149	1	5965682.6522149
UP1034	5788933.88590548	1	5788933.88590548
