sampleID	librarySize	normFactor	effectiveLibrary
BR1050	5141779.01683745	1	5141779.01683745
BR1051	5374559.5100574	1	5374559.5100574
BR1052	11318230.0865987	1	11318230.0865987
BR1056	9669022.77911262	1	9669022.77911262
BR1057	10885957.2432722	1	10885957.2432722
BR2033	6838527.64973362	1	6838527.64973362
BR2041	3936181.7746282	1	3936181.7746282
BR2042	7869596.94660574	1	7869596.94660574
BR2052	9186465.46745531	1	9186465.46745531
UP1011	9058058.62621899	1	9058058.62621899
UP1014	13386521.3828481	1	13386521.3828481
UP1015	11816783.380601	1	11816783.380601
